id,v4,p4,q4
1,0.979568541,-10.4551735,34.37144319
2,0.986433492,27.36484135,-19.4653569
3,1.02047297,8.015379157,-4.79128517
4,1.02622042,-0.604905182,5.581102631
5,1.027762206,-9.942724745,-19.71367796
6,0.987988917,1.209172403,34.55669664
7,1.011612374,-0.135990671,-23.16690282
8,1.010095409,41.95787503,-20.54892009
9,1.014644509,-7.734642827,-17.32058224
10,0.998960916,10.96423485,-7.243502822
11,0.991335966,30.46479257,26.77653491
12,1.013011386,8.425211453,-16.08263809
13,1.012060198,34.15170924,3.761152194
14,0.996140036,29.24377408,5.606096409
15,0.985928407,25.4116346,-5.814947283
16,0.993661847,36.37544613,19.83252061
17,0.998710986,38.07930096,-13.51402538
18,1.02121907,-7.879795491,29.77070181
19,1.007892518,-8.359117455,-16.25564795
20,0.970088271,-10.85867428,32.57113866
21,0.982763467,16.81404895,-5.215718856
22,1.010105281,-3.975331194,22.25521781
23,1.003356146,10.99945484,27.6265017
24,0.984089905,-11.56358632,-1.775218559
25,0.980656169,26.67203488,22.28485564
26,1.011550932,0.705136162,-10.41438073
27,0.997544438,-4.614293964,-1.512689547
28,1.00102898,32.31137938,-9.343533745
29,0.988081616,32.04959097,11.46996466
30,1.016990894,38.04412738,2.324916602
31,1.002015506,41.33671516,-3.290069317
32,0.980754246,12.62683604,9.395339536
33,0.989384041,38.5147082,17.92150631
34,0.999930477,37.65139237,33.06711131
35,1.014603307,31.43396515,-0.540293624
36,1.010452884,7.515265526,-23.08644207
37,1.005373197,19.09061896,-11.96360857
38,1.013009022,6.765320291,-2.487360871
39,1.014479875,10.65786395,-10.79555342
40,0.977025974,14.50728969,9.049788496
41,1.014044675,16.97260321,-10.45739877
42,1.026141992,13.92668747,-24.80959836
43,1.035838679,41.7967078,-24.94586011
44,1.00796728,5.13758679,-15.57245344
45,1.020197938,6.991098312,25.40179934
46,0.997598816,27.34323024,8.469140315
47,0.985041498,2.719718988,-24.21229857
48,0.99339273,-8.824891865,36.03857021
49,0.994217895,27.88527485,18.09338317
50,0.988812073,8.347373277,-23.73089576
51,0.965771596,-6.126597269,23.27263792
52,1.00763725,6.350709437,11.74879107
53,1.014765773,31.81027031,13.210873
54,0.961640978,36.69994605,31.06420397
55,0.992504475,28.71142206,29.71740356
56,1.020891412,27.86657307,-17.50334916
57,0.978919319,25.68203068,5.243487832
58,1.020489023,25.81328593,29.09536961
59,1.012707061,39.44857935,-21.23367566
60,1.008812026,15.13170761,8.053987855
61,1.027988629,39.04384173,-15.1193894
62,0.955181676,37.57019972,29.46642088
63,0.996581594,14.91824581,-19.41596892
64,1.010656971,11.93421563,-20.97346024
65,0.981026442,38.69552177,22.49648751
66,1.005518197,18.41137537,33.79093622
67,0.997183309,27.49840937,36.60969205
68,0.998664702,40.25214446,-24.30614637
69,1.024341652,15.24266483,-17.49866751
70,0.990772247,16.85228416,8.658913004
71,0.978752427,9.721755433,30.58773568
72,1.03054858,33.13222108,-11.96775729
73,1.004216585,15.55076576,9.914624814
74,1.006995597,33.97494232,29.5808197
75,1.014738988,-6.854264709,-8.105499185
76,0.99347069,6.311828261,20.93486786
77,0.98899586,26.08012531,26.60067198
78,0.989242423,12.94528922,18.77708633
79,0.986581008,23.32205281,13.11925227
80,1.008018614,24.48776605,-19.37000644
81,1.022685945,32.82160074,0.970150811
82,0.948308561,38.93837806,15.41091129
83,1.002452658,40.92316136,-8.191327597
84,1.000493679,28.98646053,30.35056444
85,0.993703691,39.38916568,-15.82773778
86,0.994282247,24.78136631,23.46147821
87,0.974386541,6.211223851,19.81759102
88,1.022353639,-5.973733994,-15.26078902
89,0.988302597,12.89390526,36.70621488
90,1.002176309,21.8852309,-18.92450786
91,0.995752781,10.01958063,-14.72048417
92,1.003083125,23.73852761,27.60540285
93,1.007821142,2.501181208,31.84443852
94,0.997026916,34.63791417,6.815375402
95,1.020002904,-7.844544415,10.32803954
96,0.958456314,16.99621581,28.34294347
97,0.984313806,19.98789531,17.62975773
98,1.014550988,33.86759301,3.087724518
99,0.997377809,20.08901473,-20.25267456
100,0.992829197,38.30401856,16.19492314
101,0.986617293,30.58938387,25.42835468
102,0.980130987,21.75680396,7.181966365
103,0.965634067,11.48561884,34.33753686
104,1.015531905,10.99197303,-5.751905988
105,0.97900719,40.00644005,17.27130257
106,0.99878114,-2.366028602,4.786374658
107,1.011878134,10.69838364,6.453987563
108,0.997955267,33.07789332,-2.956614519
109,1.009295707,-9.5387451,-19.55016815
110,1.030089726,14.95569546,-19.52469307
111,1.007899198,19.28844932,-1.217049252
112,1.010267819,-10.42587568,-8.166174606
113,1.00454594,-8.784788698,17.48636274
114,1.010615788,6.12410556,-23.94291306
115,1.00476531,15.5609006,-13.27408865
116,0.967764181,7.848337765,-21.03691967
117,1.014942486,24.70453556,-4.261527883
118,1.029532839,27.91353839,-24.23934383
119,1.028964086,42.02566689,-5.045679544
120,0.976671392,35.43528534,16.49286493
121,0.9724626,-9.343031976,34.09384941
122,1.017648259,-11.29277023,-3.240055367
123,1.045138088,-2.485053929,-19.79703676
124,1.004514656,2.012046837,-3.256226049
125,1.017663348,28.46308541,-14.17961686
126,1.009077476,-3.801052065,36.30757335
127,1.001114542,39.01336402,37.38591464
128,1.012821359,4.244503824,8.840513158
129,1.001405969,27.76002391,32.49873897
130,0.978990114,29.02947542,20.28812935
131,0.99166904,18.06492298,0.232204222
132,1.017493544,-2.916077848,-2.705891111
133,0.986753917,30.06744798,-9.048480846
134,1.031430445,-2.953357599,-3.978293843
135,1.020558987,14.65719615,-19.56241998
136,0.997016689,31.45749685,-20.86173941
137,0.996536154,23.41258314,-10.67759287
138,0.976030787,39.44677251,20.3322598
139,1.003275505,3.998014637,-24.01301376
140,1.003647932,41.35248397,7.957806036
141,1.011188102,-8.551957649,4.971024299
142,1.013550847,9.301746966,13.39639019
143,0.97022034,10.74845579,32.52620535
144,0.989514949,1.274607044,9.460857967
145,1.001135192,32.87558687,24.47738676
146,0.974828414,-11.95414775,19.47050478
147,0.968490489,41.43583776,36.99943482
148,1.026009243,16.70240908,-14.60994551
149,1.018289746,6.949526424,20.8836411
150,1.002284219,43.99494485,-22.0637377
151,1.016905983,13.42322542,-21.49663338
152,0.961916507,35.25749698,28.99233987
153,0.965961315,17.10275588,15.43464418
154,1.018865459,-2.635464794,-3.089029016
155,1.006198441,3.687033416,-14.18329959
156,1.01374207,6.311088923,14.4954348
157,1.026016996,-7.035444913,19.96547547
158,0.996960769,12.41887249,12.74162147
159,1.0238317,-6.208863965,10.02072331
160,1.010526583,34.97328496,5.60861585
161,1.005182857,37.4652942,24.31679653
162,1.035558167,-0.831520945,-17.02620665
163,1.0050163,29.59983595,-2.709909209
164,0.998195829,36.20325299,-14.56115177
165,0.983378603,15.55266818,-0.929407315
166,0.987192331,-5.834418952,6.339616086
167,1.001295538,29.61931021,-8.051575704
168,1.017012249,43.32751008,-6.672340441
169,1.022934759,9.746675948,17.45473739
170,1.004814394,2.434890617,32.60573311
171,1.005604547,-8.522583167,-4.24253277
172,1.021573122,-1.858247972,11.13978777
173,0.997655819,23.90216186,23.99213794
174,0.990509412,17.67005635,-5.678640981
175,1.007957281,2.782408503,-10.32411426
176,0.987803691,21.45939068,15.61617477
177,1.0275937,22.76936372,2.988379671
178,0.992685056,19.49305874,2.069915673
179,1.021888274,-9.370470345,21.96624526
180,0.987171136,3.069102271,2.83280189
181,1.00036485,19.47297796,8.642245154
182,0.991419985,-3.810497444,-9.733313513
183,0.974631343,32.56870498,8.426797279
184,1.022475509,28.4615296,-14.91076234
185,0.99196365,9.269442264,26.79023694
186,0.979582799,38.59689209,-1.695882588
187,0.987303327,7.559091813,28.87202266
188,0.977431447,37.22083632,27.89123207
189,0.993215386,2.313136828,34.14521711
190,1.02130785,5.488272715,19.73971143
191,1.005591937,23.87572304,-6.560303467
192,1.001448648,9.776970123,26.56542803
193,1.017322908,-1.979157393,23.38413207
194,0.996693103,-9.174939042,12.13391123
195,0.992461327,35.96400835,-4.462850852
196,0.964934563,39.51672654,23.5017107
197,0.993889834,-10.62362886,5.518310436
198,0.983879602,0.761092945,-22.27040019
199,0.98320201,28.03948575,33.19216508
200,0.998032232,22.28920571,2.170499289
201,1.012634825,24.34883596,0.012571373
202,0.991374956,21.84469014,7.889189072
203,0.997839871,24.60754192,-5.946255906
204,1.023467973,25.78678087,-3.659626703
205,0.992074479,-9.223715318,7.98936941
206,1.013388138,29.62900108,-9.752723005
207,0.984600245,41.86212489,31.03072114
208,0.981942586,24.84295873,34.68459547
209,0.96000459,-5.781453009,10.53309335
210,0.967230084,11.18296571,36.67683337
211,0.977382071,32.75510237,18.2054122
212,1.038891544,9.697942213,-20.95280428
213,0.999489776,-0.648838355,-7.978987573
214,0.98213206,30.96058861,24.14884798
215,1.015271728,31.63233314,3.426601356
216,0.964102195,40.14897886,31.02123823
217,1.016772669,16.93908323,0.148212625
218,1.027621952,40.73089471,-5.272321429
219,1.018319557,37.17327354,19.56687197
220,1.033839448,35.59982861,0.450094533
221,0.955186007,22.07074363,34.39859217
222,1.006745405,23.88075111,-11.71463641
223,1.005489757,0.428034715,5.843519907
224,0.977558428,11.7492809,16.05545247
225,0.966974671,-7.102403479,16.51208447
226,1.011223039,15.43774163,3.17004444
227,0.993025763,-6.690612763,26.49468734
228,0.988976926,18.06902063,-18.27792369
229,0.976206936,43.92968698,21.59193298
230,0.970478233,-8.920749019,21.14759444
231,0.973325508,8.933342037,33.37064455
232,0.975929113,42.33564501,36.12259706
233,0.993973598,34.30358744,-6.827916455
234,1.023035646,-1.761172776,-8.798667454
235,1.007252859,-2.096740846,18.4116438
236,0.992192474,40.28523274,-16.47471541
237,0.983087752,0.789708067,-4.567222819
238,0.987999493,15.6305661,-7.419320034
239,1.005767524,12.55373342,15.46951789
240,1.003415359,-6.630298613,-20.64402639
241,1.006671565,36.53214607,-5.049000426
242,0.998065383,5.699536827,12.16373647
243,1.010628603,12.36637431,15.91686278
244,0.996160301,19.62591911,10.25165567
245,0.987003214,17.38875976,10.39333269
246,0.983993158,10.46651674,-4.371351913
247,1.011880603,9.730443904,22.68291959
248,0.989566508,-3.270646533,6.241136663
249,0.964134521,36.53327302,26.64002936
250,1.00644699,0.209300951,-20.97409918
251,0.994094398,34.0048312,-6.637399014
252,0.983973416,42.85614633,-13.72035898
253,0.993366047,5.604181846,-5.0138476
254,0.964132874,23.17504869,27.96444574
255,0.982889127,17.34555373,-2.188510199
256,1.020459725,16.65969852,-3.65316707
257,1.002060057,43.28984939,18.43019524
258,1.013729641,-9.281700285,-21.1205859
259,1.039491911,34.59034974,-19.91133138
260,1.009623824,43.13669437,-21.03008163
261,1.02820881,30.95589791,-17.647924
262,1.017562223,22.24340329,-11.57854908
263,1.017575778,36.78703585,19.43921732
264,1.011914541,41.10691332,1.698139402
265,0.998529094,8.693118037,8.756542864
266,0.996690326,-3.478276831,23.06409023
267,1.028073323,32.29315328,18.43492235
268,0.996611276,42.48796675,-16.04191837
269,0.957180101,27.4678849,25.00387275
270,0.986568842,-8.590742648,-23.38045067
271,1.022385172,40.22291334,33.64341661
272,0.95496875,11.40481365,25.303982
273,0.995657512,6.936793271,22.587168
274,1.014485763,40.59458549,17.60787893
275,1.035260559,39.11156088,-11.95396309
276,1.01467485,32.4822177,-8.13235442
277,0.979316486,40.45494901,-23.77204989
278,0.969632077,43.77211284,35.82809707
279,0.990497759,33.6644627,14.5337111
280,1.023913659,13.17364722,12.95193777
281,1.003893674,16.59100986,-1.082865257
282,1.000194142,8.570720884,25.13438666
283,1.022840674,-3.61496565,-13.35514566
284,0.963599073,35.00433939,26.25658043
285,1.00977197,-6.443912632,13.64460583
286,1.020614719,33.36898378,-4.535392032
287,1.001393373,20.99367659,-12.50836261
288,1.02876555,33.66470829,11.64252078
289,0.994242388,10.46238324,9.846982127
290,1.0121785,18.46306072,-14.90420771
291,0.990121447,-4.463459255,27.03711347
292,1.007401856,21.84098706,18.26083525
293,1.014352189,-4.074709887,2.563204079
294,1.00715491,-9.327147331,-17.27047454
295,1.001143651,6.822877897,22.94921175
296,1.02945124,19.53796049,-18.93386706
297,1.007605022,39.02688819,17.4110706
298,1.023309004,5.083086509,9.884225683
299,0.974126821,-11.4939576,14.24640579
300,1.031924502,-4.457216448,-7.377595355
301,0.995001602,3.633605477,35.75079533
302,1.006252283,23.79610911,13.26535846
303,0.988585488,-11.07732304,-14.58053076
304,0.993036898,23.38393699,14.69178347
305,0.992631016,19.54530259,-3.600082172
306,1.002720045,4.781626725,37.26841292
307,1.001148284,19.23256586,1.74317457
308,1.027727416,3.68475596,-15.87039757
309,1.003725267,23.60315473,-0.567576631
310,1.020100351,1.980367307,-22.10034494
311,0.975960123,13.56439871,-15.85686604
312,1.033716823,2.801578899,-9.866587097
313,1.002139241,17.0017021,-23.85715939
314,0.994599642,32.27412695,4.134711949
315,0.967793955,37.66125642,10.82000383
316,0.999989644,30.81147555,-1.638712854
317,0.944157622,-0.06637573,24.47207852
318,1.029191593,16.49645447,5.151566095
319,0.991174995,-3.180901471,-23.72494823
320,0.998756339,10.56820791,35.41019233
321,0.959743675,3.767503485,27.00197851
322,1.013454459,0.113973748,16.49010906
323,1.012316951,17.04868063,10.22869527
324,1.032879291,33.52212592,-24.09771425
325,1.004123059,-2.929856513,24.22926404
326,0.981453338,29.44767247,21.44799436
327,0.980318063,13.22382754,25.22316975
328,0.973952444,39.34699368,-13.14855082
329,1.033649158,15.3045106,1.03587
330,0.992720671,21.34132687,-1.982743178
331,1.015456531,13.92770124,-15.34611328
332,0.989389845,10.51160798,-23.05070528
333,1.029634296,1.117728453,-3.17218466
334,0.995001582,36.91655079,22.00870914
335,0.99126696,6.145501549,17.80607574
336,0.999687641,-2.433902986,-1.059439109
337,1.04760825,34.05478168,-24.24188511
338,1.021635383,29.5064848,-5.858914811
339,1.035079048,12.10780109,-1.933789625
340,0.988927307,-4.081603721,-6.712517895
341,0.987259831,0.305930485,31.35899482
342,0.960574287,21.87965595,31.98604599
343,1.018904237,-6.513425139,1.627764225
344,0.99852026,-4.832997788,14.29604794
345,1.02539548,18.94345676,9.812591085
346,0.98131108,37.20850518,-19.91062224
347,0.996095985,3.299253159,7.381552456
348,1.01506092,-11.0391555,-3.10492278
349,0.971574669,2.902121649,5.50026913
350,0.983291094,32.89846191,2.98395008
351,1.000260756,39.03993832,-9.881161582
352,0.978384126,27.66100197,5.770857168
353,0.978149616,15.83295373,22.31966834
354,0.995516926,41.2273707,29.91647307
